	Unnamed: 0	def_count	id	l_pit	moments_x	moments_y	ratio	s_pit	wxh
757	757	35.0	201.jpg	0.0	259.0	201.0	0.587275693312	1.0	220680.0
843	843	36.0	227.jpg	0.0	252.0	201.0	0.634482758621	1.0	213440.0
1117	1117	34.0	498.jpg	0.0	245.0	216.0	0.669535283993	4.0	226009.0
1035	1035	35.0	569.jpg	0.0	265.0	202.0	0.608333333333	3.0	219000.0
1083	1083	38.0	610.jpg	0.0	287.0	188.0	0.5296875	4.0	216960.0
824	824	34.0	990.jpg	0.0	244.0	204.0	0.622222222222	2.0	212940.0
454	454	30.0	1196.jpg	0.0	303.0	187.0	0.502276176024	3.0	218129.0
214	214	36.0	1377.jpg	0.0	242.0	207.0	0.647359454855	2.0	223060.0
1239	1239	29.0	1525.jpg	0.0	245.0	211.0	0.650602409639	3.0	219618.0
1128	1128	39.0	1562.jpg	0.0	246.0	208.0	0.655052264808	3.0	215824.0
583	583	10.0	160.jpg	3.0	296.0	272.0	0.858757062147	5.0	242136.0
59	59	11.0	164.jpg	4.0	279.0	280.0	0.907297830375	5.0	233220.0
830	830	11.0	166.jpg	4.0	288.0	277.0	0.897590361446	5.0	222606.0
1262	1262	14.0	235.jpg	3.0	299.0	310.0	0.925572519084	3.0	254140.0
941	941	12.0	268.jpg	3.0	269.0	262.0	0.876016260163	6.0	212052.0
1044	1044	12.0	496.jpg	4.0	283.0	272.0	0.940476190476	5.0	238896.0
8	8	15.0	962.jpg	4.0	299.0	282.0	0.915057915058	4.0	245532.0
12	12	10.0	1000.jpg	3.0	299.0	269.0	0.853889943074	5.0	237150.0
283	283	9.0	1019.jpg	3.0	288.0	275.0	0.871844660194	5.0	231235.0
868	868	9.0	1506.jpg	3.0	283.0	261.0	0.854870775348	5.0	216290.0
1298	1298	20.0	216.jpg	0.0	260.0	198.0	0.717622080679	4.0	159198.0
106	106	30.0	288.jpg	1.0	278.0	186.0	0.745454545455	4.0	144320.0
1152	1152	30.0	489.jpg	0.0	249.0	208.0	0.740492170022	4.0	147957.0
1352	1352	20.0	499.jpg	1.0	226.0	216.0	0.831775700935	3.0	152368.0
391	391	24.0	807.jpg	0.0	218.0	187.0	0.742346938776	4.0	114072.0
507	507	33.0	892.jpg	0.0	225.0	201.0	0.681710213777	2.0	120827.0
1147	1147	36.0	1005.jpg	0.0	247.0	186.0	0.678651685393	4.0	134390.0
1383	1383	29.0	1342.jpg	0.0	213.0	170.0	0.77374301676	4.0	99166.0
240	240	36.0	1519.jpg	0.0	222.0	165.0	0.710455764075	4.0	98845.0
284	284	28.0	1556.jpg	0.0	242.0	187.0	0.672018348624	4.0	127748.0
483	483	35.0	1.jpg	1.0	267.0	254.0	0.875776397516	4.0	204309.0
1331	1331	36.0	317.jpg	0.0	250.0	278.0	0.991208791209	4.0	205205.0
1343	1343	33.0	906.jpg	0.0	258.0	266.0	0.942184154176	4.0	205480.0
1247	1247	25.0	1002.jpg	0.0	236.0	285.0	1.18632075472	5.0	213272.0
1205	1205	32.0	1125.jpg	0.0	252.0	265.0	0.952586206897	5.0	205088.0
422	422	39.0	1159.jpg	0.0	246.0	266.0	1.07600950119	4.0	190713.0
555	555	38.0	1270.jpg	1.0	254.0	296.0	1.03524229075	3.0	213380.0
1094	1094	36.0	1320.jpg	1.0	267.0	269.0	0.891440501044	3.0	204533.0
1014	1014	37.0	1450.jpg	0.0	253.0	264.0	0.93829787234	5.0	207270.0
1572	1572	27.0	1504.jpg	1.0	246.0	291.0	1.06787330317	3.0	208624.0
1212	1212	10.0	27.jpg	5.0	245.0	265.0	0.886104783599	2.0	170771.0
727	727	13.0	118.jpg	3.0	232.0	275.0	0.963942307692	3.0	166816.0
1089	1089	8.0	203.jpg	3.0	243.0	266.0	0.866972477064	3.0	164808.0
390	390	18.0	324.jpg	5.0	254.0	270.0	0.863839285714	3.0	173376.0
850	850	16.0	960.jpg	4.0	219.0	255.0	0.930174563591	4.0	149573.0
1539	1539	10.0	1041.jpg	6.0	248.0	281.0	0.911161731207	2.0	175600.0
1169	1169	12.0	1085.jpg	6.0	269.0	297.0	0.881002087683	1.0	202138.0
847	847	15.0	1088.jpg	4.0	258.0	274.0	0.808333333333	3.0	186240.0
79	79	13.0	1370.jpg	6.0	284.0	302.0	0.87573964497	1.0	225108.0
1224	1224	12.0	1551.jpg	4.0	258.0	280.0	0.875816993464	2.0	184518.0
1410	1410	6.0	146.jpg	4.0	393.0	358.0	0.736625514403	1.0	391473.0
1040	1040	6.0	311.jpg	5.0	400.0	383.0	0.826815642458	0.0	423872.0
61	61	5.0	362.jpg	4.0	393.0	372.0	0.801925722146	0.0	423841.0
1133	1133	7.0	810.jpg	3.0	403.0	391.0	0.744063324538	1.0	427512.0
265	265	6.0	915.jpg	5.0	394.0	357.0	0.748308525034	0.0	408667.0
851	851	6.0	949.jpg	5.0	387.0	354.0	0.778393351801	0.0	405764.0
506	506	5.0	956.jpg	4.0	400.0	386.0	0.81129476584	0.0	427614.0
648	648	6.0	1417.jpg	5.0	391.0	380.0	0.768606224628	0.0	419752.0
1424	1424	7.0	1538.jpg	4.0	384.0	369.0	0.791316526611	1.0	403410.0
1198	1198	5.0	1578.jpg	4.0	384.0	392.0	0.78465679677	0.0	433169.0
945	945	12.0	38.jpg	3.0	360.0	301.0	0.720588235294	7.0	333200.0
326	326	11.0	322.jpg	4.0	496.0	449.0	0.766423357664	6.0	704865.0
930	930	12.0	331.jpg	4.0	483.0	448.0	0.82788671024	6.0	697680.0
546	546	22.0	408.jpg	3.0	371.0	349.0	0.764788732394	2.0	385530.0
547	547	21.0	511.jpg	4.0	503.0	421.0	0.698113207547	5.0	635364.0
336	336	25.0	589.jpg	4.0	499.0	469.0	0.725352112676	2.0	716674.0
1473	1473	15.0	754.jpg	3.0	464.0	382.0	0.722988505747	4.0	547230.0
795	795	15.0	1011.jpg	3.0	384.0	376.0	0.832439678284	6.0	463266.0
165	165	12.0	1467.jpg	4.0	396.0	357.0	0.722891566265	3.0	403380.0
1283	1283	16.0	1512.jpg	4.0	406.0	383.0	0.800261096606	4.0	469558.0
264	264	33.0	238.jpg	2.0	359.0	396.0	0.946454413893	4.0	451914.0
66	66	24.0	698.jpg	2.0	367.0	415.0	1.01228878648	7.0	429009.0
1513	1513	38.0	727.jpg	2.0	351.0	431.0	1.1136	5.0	435000.0
946	946	25.0	873.jpg	2.0	343.0	384.0	0.96682464455	3.0	387396.0
1421	1421	20.0	1117.jpg	2.0	327.0	385.0	1.05714285714	3.0	374255.0
780	780	32.0	1154.jpg	2.0	392.0	458.0	1.08467153285	4.0	508955.0
823	823	22.0	1165.jpg	2.0	315.0	353.0	0.949324324324	4.0	332704.0
1353	1353	23.0	1216.jpg	2.0	357.0	401.0	0.982839313573	4.0	403830.0
190	190	25.0	1243.jpg	2.0	376.0	448.0	0.994413407821	6.0	509792.0
228	228	35.0	1245.jpg	2.0	371.0	448.0	1.10591900312	4.0	455820.0
1496	1496	27.0	148.jpg	1.0	413.0	430.0	0.939516129032	5.0	520056.0
439	439	30.0	364.jpg	0.0	306.0	394.0	1.13729128015	4.0	330407.0
1064	1064	29.0	404.jpg	0.0	381.0	469.0	1.10549777117	3.0	500712.0
898	898	35.0	570.jpg	1.0	406.0	468.0	0.98544973545	4.0	563220.0
1013	1013	31.0	641.jpg	0.0	360.0	461.0	1.08494783905	5.0	488488.0
633	633	22.0	651.jpg	0.0	340.0	437.0	1.12155591572	4.0	426964.0
167	167	24.0	652.jpg	1.0	405.0	466.0	1.00654450262	4.0	587516.0
639	639	29.0	713.jpg	0.0	384.0	509.0	1.1095890411	6.0	591300.0
335	335	34.0	853.jpg	0.0	374.0	498.0	1.16305916306	3.0	558558.0
1210	1210	35.0	1520.jpg	2.0	400.0	514.0	1.15312916112	2.0	650366.0
1319	1319	15.0	78.jpg	4.0	296.0	300.0	0.841328413284	3.0	247152.0
39	39	12.0	167.jpg	3.0	351.0	416.0	1.02459016393	4.0	381250.0
875	875	12.0	253.jpg	4.0	304.0	320.0	0.962546816479	4.0	274476.0
1376	1376	14.0	365.jpg	4.0	295.0	285.0	0.958257713249	2.0	290928.0
656	656	8.0	506.jpg	2.0	284.0	327.0	1.01361867704	5.0	267794.0
968	968	10.0	763.jpg	4.0	331.0	400.0	1.08581436077	2.0	354020.0
1520	1520	8.0	864.jpg	4.0	453.0	461.0	0.861788617886	2.0	638862.0
595	595	23.0	1003.jpg	4.0	298.0	364.0	1.02957486137	3.0	301337.0
663	663	14.0	1182.jpg	3.0	288.0	324.0	1.06465517241	5.0	229216.0
1482	1482	14.0	1184.jpg	2.0	234.0	325.0	1.27602905569	4.0	217651.0
867	867	55.0	186.jpg	0.0	269.0	397.0	1.41631799163	2.0	323606.0
484	484	52.0	198.jpg	0.0	256.0	354.0	1.46171171171	2.0	288156.0
1362	1362	54.0	505.jpg	0.0	271.0	395.0	1.34979423868	1.0	318816.0
899	899	61.0	629.jpg	0.0	243.0	343.0	1.31065759637	1.0	254898.0
997	997	51.0	647.jpg	0.0	252.0	367.0	1.42342342342	2.0	280608.0
435	435	57.0	839.jpg	0.0	283.0	408.0	1.35852713178	2.0	361716.0
1463	1463	59.0	1235.jpg	0.0	261.0	402.0	1.42526315789	2.0	321575.0
341	341	57.0	1242.jpg	0.0	293.0	446.0	1.43545279383	2.0	386655.0
1317	1317	52.0	1435.jpg	0.0	235.0	335.0	1.4226044226	2.0	235653.0
995	995	56.0	1477.jpg	0.0	277.0	397.0	1.36437246964	2.0	332956.0
1574	1574	34.0	140.jpg	0.0	341.0	192.0	0.665474060823	1.0	207948.0
308	308	25.0	663.jpg	0.0	346.0	200.0	0.608768971332	0.0	214073.0
362	362	28.0	805.jpg	0.0	271.0	190.0	0.623036649215	1.0	204561.0
1026	1026	31.0	877.jpg	0.0	328.0	203.0	0.680430879713	2.0	211103.0
918	918	28.0	893.jpg	0.0	338.0	198.0	0.614583333333	0.0	203904.0
1440	1440	26.0	983.jpg	0.0	259.0	203.0	0.648506151142	1.0	209961.0
11	11	32.0	1217.jpg	0.0	356.0	189.0	0.566666666667	0.0	204000.0
712	712	27.0	1232.jpg	0.0	339.0	205.0	0.656690140845	1.0	211864.0
1041	1041	31.0	1287.jpg	0.0	325.0	196.0	0.64768683274	2.0	204568.0
511	511	35.0	1581.jpg	0.0	319.0	200.0	0.705223880597	0.0	202608.0
657	657	42.0	55.jpg	0.0	261.0	377.0	1.45572354212	2.0	312062.0
1493	1493	48.0	290.jpg	0.0	280.0	359.0	1.33003952569	8.0	340538.0
739	739	32.0	314.jpg	0.0	248.0	421.0	1.69230769231	2.0	330616.0
1484	1484	39.0	475.jpg	0.0	228.0	334.0	1.5	2.0	249696.0
683	683	44.0	493.jpg	0.0	281.0	399.0	1.45891783567	4.0	363272.0
694	694	28.0	868.jpg	0.0	251.0	392.0	1.49023861171	6.0	316707.0
1428	1428	47.0	954.jpg	0.0	271.0	336.0	1.28830645161	2.0	316944.0
1222	1222	46.0	1021.jpg	0.0	276.0	345.0	1.284	6.0	321000.0
171	171	45.0	1118.jpg	0.0	289.0	385.0	1.38535645472	7.0	373161.0
497	497	36.0	1258.jpg	0.0	235.0	350.0	1.49765258216	2.0	271788.0
158	158	29.0	34.jpg	0.0	418.0	254.0	0.51205510907	2.0	388466.0
848	848	27.0	371.jpg	0.0	434.0	242.0	0.477741585233	3.0	405240.0
702	702	28.0	376.jpg	0.0	447.0	236.0	0.456762749446	2.0	371624.0
495	495	25.0	738.jpg	0.0	332.0	201.0	0.475912408759	2.0	223310.0
681	681	30.0	788.jpg	0.0	428.0	266.0	0.5125	2.0	396880.0
1551	1551	25.0	971.jpg	0.0	408.0	228.0	0.463443396226	1.0	333264.0
1485	1485	25.0	1004.jpg	0.0	464.0	275.0	0.505894962487	3.0	440376.0
1582	1582	24.0	1096.jpg	0.0	417.0	215.0	0.454221165279	2.0	321262.0
154	154	31.0	1302.jpg	0.0	337.0	194.0	0.474926253687	1.0	218316.0
224	224	22.0	1396.jpg	0.0	435.0	255.0	0.520089285714	2.0	417536.0
643	643	29.0	334.jpg	0.0	199.0	240.0	1.27906976744	2.0	151360.0
97	97	37.0	357.jpg	0.0	186.0	208.0	1.2071197411	0.0	115257.0
113	113	37.0	374.jpg	0.0	186.0	221.0	1.21518987342	1.0	121344.0
1076	1076	33.0	394.jpg	0.0	200.0	252.0	1.34482758621	1.0	162864.0
588	588	33.0	646.jpg	0.0	175.0	208.0	1.20930232558	0.0	109564.0
786	786	39.0	717.jpg	0.0	216.0	239.0	1.10427807487	2.0	154462.0
900	900	31.0	1124.jpg	0.0	197.0	210.0	1.19207317073	2.0	128248.0
670	670	36.0	1255.jpg	0.0	166.0	205.0	1.32028469751	2.0	104251.0
796	796	31.0	1550.jpg	0.0	201.0	257.0	1.31339031339	1.0	161811.0
266	266	29.0	1566.jpg	0.0	199.0	237.0	1.25214899713	2.0	152513.0
1204	1204	42.0	37.jpg	0.0	821.0	101.0	0.0885135135135	0.0	193880.0
610	610	49.0	196.jpg	0.0	886.0	95.0	0.0781448538755	0.0	193602.0
1178	1178	51.0	199.jpg	0.0	760.0	108.0	0.122861586314	0.0	203188.0
556	556	52.0	412.jpg	0.0	752.0	103.0	0.116402116402	0.0	203742.0
25	25	49.0	423.jpg	0.0	740.0	119.0	0.14663256607	0.0	201756.0
859	859	46.0	454.jpg	0.0	779.0	100.0	0.107511045655	0.0	198268.0
1403	1403	57.0	464.jpg	0.0	770.0	107.0	0.1264	0.0	197500.0
1522	1522	46.0	1034.jpg	0.0	820.0	107.0	0.0940288263555	0.0	199609.0
860	860	43.0	1039.jpg	0.0	887.0	91.0	0.0816195372751	0.0	197612.0
278	278	53.0	1488.jpg	0.0	722.0	113.0	0.127287191726	1.0	201120.0
107	107	46.0	18.jpg	0.0	350.0	237.0	0.543126684636	3.0	299026.0
927	927	36.0	175.jpg	0.0	407.0	282.0	0.570462232244	3.0	448822.0
782	782	47.0	286.jpg	0.0	401.0	272.0	0.533632286996	1.0	424592.0
101	101	46.0	341.jpg	0.0	407.0	264.0	0.496732026144	3.0	418608.0
620	620	42.0	443.jpg	0.0	555.0	276.0	0.53399122807	1.0	444144.0
411	411	46.0	488.jpg	0.0	423.0	281.0	0.505353319058	3.0	440848.0
1377	1377	53.0	672.jpg	0.0	415.0	275.0	0.521505376344	3.0	451050.0
133	133	48.0	747.jpg	0.0	412.0	238.0	0.47990815155	2.0	364078.0
887	887	50.0	758.jpg	0.0	606.0	281.0	0.513931888545	2.0	482562.0
1469	1469	37.0	1097.jpg	0.0	397.0	256.0	0.530321046373	3.0	375086.0
406	406	20.0	339.jpg	0.0	131.0	178.0	1.44897959184	0.0	55664.0
222	222	23.0	415.jpg	0.0	128.0	183.0	1.39336492891	1.0	62034.0
1511	1511	16.0	461.jpg	0.0	134.0	180.0	1.36018957346	1.0	60557.0
604	604	17.0	615.jpg	0.0	137.0	175.0	1.35944700461	2.0	64015.0
570	570	21.0	621.jpg	0.0	145.0	210.0	1.4672489083	2.0	76944.0
1003	1003	19.0	1013.jpg	0.0	151.0	189.0	1.30962343096	0.0	74807.0
1250	1250	21.0	1052.jpg	0.0	119.0	171.0	1.39473684211	0.0	50350.0
531	531	23.0	1213.jpg	0.0	145.0	182.0	1.20168067227	2.0	68068.0
448	448	18.0	1393.jpg	0.0	135.0	198.0	1.60975609756	2.0	67650.0
54	54	18.0	1473.jpg	0.0	136.0	175.0	1.28828828829	2.0	63492.0
1088	1088	31.0	73.jpg	0.0	490.0	152.0	0.297076023392	1.0	217170.0
489	489	28.0	143.jpg	0.0	497.0	168.0	0.297798377752	0.0	221791.0
223	223	30.0	380.jpg	0.0	490.0	159.0	0.295790671217	0.0	228540.0
705	705	38.0	558.jpg	0.0	402.0	169.0	0.407202216066	0.0	212268.0
1554	1554	43.0	765.jpg	0.0	451.0	167.0	0.357692307692	0.0	217620.0
817	817	36.0	969.jpg	0.0	472.0	162.0	0.330049261084	1.0	217616.0
1091	1091	29.0	992.jpg	0.0	459.0	174.0	0.352300242131	1.0	240366.0
677	677	36.0	1119.jpg	0.0	419.0	173.0	0.371202113606	0.0	212717.0
245	245	41.0	1179.jpg	0.0	431.0	174.0	0.355128205128	1.0	216060.0
756	756	36.0	1367.jpg	0.0	479.0	158.0	0.31124260355	0.0	222235.0
338	338	34.0	425.jpg	0.0	656.0	256.0	0.376910016978	13.0	523032.0
687	687	39.0	592.jpg	0.0	568.0	271.0	0.4493731919	8.0	483242.0
988	988	33.0	769.jpg	0.0	713.0	235.0	0.343876723439	11.0	522792.0
63	63	35.0	926.jpg	0.0	544.0	247.0	0.456967213115	16.0	435296.0
536	536	34.0	1087.jpg	0.0	477.0	232.0	0.482961222092	11.0	349761.0
1573	1573	26.0	1153.jpg	0.0	489.0	212.0	0.424242424242	8.0	362208.0
1545	1545	32.0	1229.jpg	0.0	511.0	226.0	0.444565217391	11.0	376280.0
1051	1051	31.0	1273.jpg	1.0	685.0	271.0	0.416064257028	15.0	644910.0
309	309	28.0	1296.jpg	1.0	581.0	255.0	0.428835489834	14.0	502048.0
685	685	32.0	1511.jpg	0.0	617.0	264.0	0.436997319035	13.0	547191.0
75	75	40.0	61.jpg	0.0	320.0	199.0	0.597222222222	3.0	198144.0
1110	1110	37.0	100.jpg	0.0	359.0	201.0	0.581395348837	3.0	210700.0
177	177	41.0	115.jpg	0.0	277.0	195.0	0.692307692308	2.0	187200.0
1112	1112	35.0	153.jpg	0.0	337.0	194.0	0.571912013536	2.0	199758.0
126	126	37.0	169.jpg	0.0	322.0	189.0	0.549180327869	1.0	204350.0
655	655	37.0	249.jpg	0.0	302.0	193.0	0.61717352415	2.0	192855.0
1046	1046	31.0	566.jpg	0.0	326.0	201.0	0.578859060403	3.0	205620.0
1106	1106	36.0	1175.jpg	0.0	301.0	186.0	0.597539543058	2.0	193460.0
1004	1004	39.0	1277.jpg	0.0	333.0	196.0	0.555555555556	3.0	202005.0
1100	1100	33.0	1425.jpg	0.0	341.0	192.0	0.552166934189	3.0	214312.0
1368	1368	82.0	58.jpg	0.0	247.0	220.0	0.8820861678	1.0	171549.0
949	949	73.0	88.jpg	0.0	236.0	223.0	0.891705069124	1.0	167958.0
846	846	80.0	242.jpg	0.0	230.0	230.0	0.946009389671	1.0	171678.0
829	829	74.0	398.jpg	0.0	232.0	212.0	0.889655172414	1.0	168345.0
1549	1549	85.0	427.jpg	0.0	230.0	236.0	0.973747016706	1.0	170952.0
514	514	72.0	551.jpg	0.0	237.0	211.0	0.868360277136	1.0	162808.0
1290	1290	79.0	582.jpg	0.0	247.0	206.0	0.840449438202	1.0	166430.0
1218	1218	76.0	914.jpg	0.0	237.0	209.0	0.849315068493	1.0	162936.0
1057	1057	82.0	1094.jpg	0.0	240.0	220.0	0.901376146789	1.0	171348.0
753	753	82.0	1471.jpg	0.0	241.0	220.0	0.890660592255	1.0	171649.0
1515	1515	52.0	42.jpg	0.0	492.0	255.0	0.487206823028	1.0	428666.0
89	89	44.0	450.jpg	0.0	327.0	174.0	0.44167962675	1.0	182612.0
1425	1425	61.0	513.jpg	0.0	461.0	230.0	0.470588235294	1.0	353736.0
447	447	52.0	662.jpg	0.0	450.0	219.0	0.435428571429	1.0	333375.0
1517	1517	66.0	737.jpg	0.0	466.0	263.0	0.547928994083	1.0	391235.0
515	515	65.0	745.jpg	0.0	493.0	261.0	0.498378378378	2.0	426425.0
971	971	49.0	800.jpg	0.0	500.0	236.0	0.434647302905	2.0	403916.0
293	293	55.0	1256.jpg	0.0	492.0	262.0	0.481288981289	1.0	445406.0
1381	1381	49.0	1405.jpg	0.0	495.0	241.0	0.436781609195	2.0	400026.0
1453	1453	69.0	1461.jpg	0.0	468.0	289.0	0.590401785714	1.0	473984.0
271	271	60.0	71.jpg	0.0	274.0	204.0	0.672828096118	0.0	196924.0
193	193	56.0	273.jpg	0.0	274.0	202.0	0.689265536723	0.0	194346.0
98	98	55.0	614.jpg	0.0	314.0	189.0	0.59375	1.0	196992.0
328	328	53.0	757.jpg	0.0	306.0	194.0	0.561666666667	1.0	202200.0
998	998	60.0	881.jpg	0.0	287.0	192.0	0.625886524823	1.0	199092.0
1518	1518	55.0	932.jpg	0.0	279.0	205.0	0.674115456238	1.0	194394.0
1498	1498	51.0	1169.jpg	0.0	294.0	192.0	0.572147651007	0.0	203236.0
1528	1528	55.0	1345.jpg	0.0	292.0	190.0	0.541598694943	1.0	203516.0
1436	1436	55.0	1398.jpg	0.0	293.0	196.0	0.629432624113	0.0	200220.0
1279	1279	65.0	1527.jpg	0.0	285.0	196.0	0.650735294118	1.0	192576.0
533	533	69.0	217.jpg	0.0	338.0	215.0	0.527065527066	1.0	259740.0
181	181	46.0	463.jpg	0.0	306.0	172.0	0.504504504505	0.0	155400.0
758	758	50.0	467.jpg	0.0	349.0	187.0	0.462686567164	0.0	207700.0
790	790	46.0	523.jpg	0.0	336.0	185.0	0.491114701131	0.0	188176.0
1531	1531	47.0	635.jpg	0.0	378.0	165.0	0.376912378303	1.0	194849.0
675	675	48.0	677.jpg	0.0	407.0	182.0	0.409333333333	1.0	230250.0
